Date,Price,PercentChange(%)
1985-08-01,333.2,1.7404580152671756
1985-09-02,326.0,-2.1608643457382954
1985-10-01,325.3,-0.2147239263803681
1985-11-01,328.4,0.9529664924684906
1985-12-02,329.7,0.39585870889159563
1986-01-01,350.5,6.308765544434334
1986-02-03,338.1,-3.537803138373752
1986-03-03,338.1,0.0
1986-04-01,345.7,2.2478556640047325
1986-05-01,339.983,-1.653746022562916
1986-06-02,343.518,1.0397578702464536
1986-07-01,354.644,3.238840468330626
1986-08-01,383.446,8.121383697454348
1986-09-01,422.815,10.267156261898677
1986-10-01,399.884,-5.423412130600854
1986-11-03,388.965,-2.73054185713857
1986-12-01,390.193,0.31570963968480453
1987-01-01,403.428,3.3919111824148565
1987-02-02,405.274,0.4575785518109799
1987-03-02,417.763,3.081618855391661
1987-04-01,453.602,8.57878749434488
1987-05-01,451.275,-0.5130047927478274
1987-06-01,448.639,-0.5841227632818127
1987-07-01,463.734,3.364620552381759
1987-08-03,452.857,-2.3455256677319327
1987-09-01,458.979,1.3518616251929416
1987-10-01,468.674,2.1122970767725757
1987-11-02,490.456,4.647580194335508
1987-12-01,485.854,-0.9383104702562514
1988-01-01,454.007,-6.554849810848527
1988-02-01,430.228,-5.237584442530622
1988-03-01,453.851,5.490809524252257
1988-04-01,449.953,-0.8588721849241271
1988-05-02,454.407,0.9898811653661604
1988-06-01,434.919,-4.288666327763437
1988-07-01,435.696,0.17865395625392314
1988-08-01,430.581,-1.1739836950534317
1988-09-01,394.03,-8.488762857627252
1988-10-03,412.157,4.600411136207903
1988-11-01,423.597,2.7756413211470385
1988-12-01,409.394,-3.3529510360082813
1989-01-02,390.31,-4.661524106362086
1989-02-01,386.898,-0.8741769362814173
1989-03-01,384.663,-0.5776716343842563
1989-04-03,377.722,-1.8044366107475895
1989-05-01,361.226,-4.367233044408321
1989-06-01,373.443,3.3820932048080703
1989-07-03,370.071,-0.9029490444324837
1989-08-01,358.291,-3.183172958702519
1989-09-01,366.138,2.190119204780472
1989-10-02,373.7,2.0653414832658723
1989-11-01,411.5,10.115065560610114
1989-12-01,402.8,-2.114216281895504
1990-01-01,411.45,2.14746772591857
1990-02-01,406.5,-1.203062340503099
1990-03-01,370.2,-8.92988929889299
1990-04-02,368.65,-0.41869259859535385
1990-05-01,363.7,-1.3427370134273702
1990-06-01,356.8,-1.8971679956007699
1990-07-02,370.5,3.8396860986547083
1990-08-01,382.75,3.3063427800269904
1990-09-03,402.9,5.264532984977139
1990-10-01,379.95,-5.69620253164557
1990-11-01,382.0,0.5395446769311751
1990-12-03,392.5,2.74869109947644
1991-01-01,366.1,-6.726114649681529
1991-02-01,365.9,-0.054629882545752524
1991-03-01,355.35,-2.8833014484831923
1991-04-01,356.35,0.28141269171239625
1991-05-01,361.25,1.3750526168093167
1991-06-03,368.0,1.8685121107266436
1991-07-01,363.7,-1.1684782608695652
1991-08-01,348.3,-4.234259004674182
1991-09-02,353.8,1.5790984783232844
1991-10-01,357.7,1.1023176936122103
1991-11-01,367.7,2.795638803466592
1991-12-02,354.1,-3.698667391895567
1992-01-01,356.75,0.7483761649251623
1992-02-03,352.9,-1.079187105816398
1992-03-02,343.15,-2.7628223292717484
1992-04-01,336.9,-1.8213609208800816
1992-05-01,336.3,-0.17809439002671415
1992-06-01,343.0,1.992268807612251
1992-07-01,357.6,4.256559766763848
1992-08-03,342.2,-4.306487695749441
1992-09-01,348.3,1.782583284628872
1992-10-01,339.5,-2.526557565317255
1992-11-02,334.3,-1.5316642120765833
1992-12-01,333.0,-0.3888722704157942
1993-01-01,329.7,-0.990990990990991
1993-02-01,328.2,-0.4549590536851683
1993-03-01,336.75,2.6051188299817185
1993-04-01,355.4,5.538233110616184
1993-05-03,378.75,6.570061902082161
1993-06-01,377.0,-0.46204620462046203
1993-07-01,406.8,7.904509283819628
1993-08-02,372.25,-8.493117010816126
1993-09-01,355.2,-4.58025520483546
1993-10-01,368.6,3.7725225225225225
1993-11-01,370.2,0.43407487791644056
1993-12-01,390.5,5.483522420313344
1994-01-03,382.0,-2.176696542893726
1994-02-01,381.25,-0.19633507853403143
1994-03-01,391.6,2.7147540983606557
1994-04-01,376.7,-3.804902962206333
1994-05-02,386.6,2.628086010087603
1994-06-01,385.5,-0.28453181583031556
1994-07-01,383.2,-0.5966277561608301
1994-08-01,386.0,0.7306889352818372
1994-09-01,394.6,2.227979274611399
1994-10-03,383.8,-2.7369488089204257
1994-11-01,381.05,-0.7165190203230849
1994-12-01,382.6,0.4067707649914709
1995-01-02,374.85,-2.025614218504966
1995-02-01,376.6,0.4668534080298786
1995-03-01,390.5,3.6909187466808286
1995-04-03,386.5,-1.0243277848911652
1995-05-01,383.85,-0.685640362225097
1995-06-01,384.15,0.07815552950371239
1995-07-03,382.45,-0.4425354679161786
1995-08-01,382.2,-0.06536802196365538
1995-09-01,383.35,0.3008895866038723
1995-10-02,382.4,-0.2478153123777227
1995-11-01,387.05,1.2160041841004183
1995-12-01,386.85,-0.0516729104766826
1996-01-01,406.2,5.001938735944164
1996-02-01,399.5,-1.6494337764647957
1996-03-01,395.2,-1.0763454317897372
1996-04-01,391.4,-0.9615384615384616
1996-05-01,390.8,-0.1532958610117527
1996-06-03,380.2,-2.7123848515864895
1996-07-01,386.8,1.7359284587059443
1996-08-01,386.5,-0.07755946225439504
1996-09-02,378.3,-2.1216041397153944
1996-10-01,377.7,-0.1586042823156225
1996-11-01,371.25,-1.7077045274027005
1996-12-02,367.8,-0.9292929292929293
1997-01-01,344.1,-6.443719412724307
1997-02-03,363.0,5.492589363557106
1997-03-03,350.9,-3.3333333333333335
1997-04-01,339.1,-3.3627814192077516
1997-05-01,344.4,1.5629607785314066
1997-06-02,333.7,-3.1068524970963995
1997-07-01,324.3,-2.816901408450704
1997-08-01,323.9,-0.12334258402713537
1997-09-01,334.2,3.179993825254708
1997-10-01,311.2,-6.882106523040096
1997-11-03,296.8,-4.627249357326479
1997-12-01,288.8,-2.6954177897574123
1998-01-01,302.2,4.639889196675901
1998-02-02,298.9,-1.0919920582395763
1998-03-02,300.7,0.6022080963532954
1998-04-01,306.4,1.8955769870302628
1998-05-01,292.7,-4.471279373368146
1998-06-01,296.7,1.366586949094636
1998-07-01,286.2,-3.538928210313448
1998-08-03,276.4,-3.424178895877009
1998-09-01,296.7,7.344428364688857
1998-10-01,292.3,-1.482979440512302
1998-11-02,292.7,0.13684570646595964
1998-12-01,288.0,-1.6057396651861975
1999-01-01,286.1,-0.6597222222222222
1999-02-01,286.6,0.17476406850751486
1999-03-01,279.8,-2.3726448011165386
1999-04-01,286.4,2.3588277340957826
1999-05-03,270.1,-5.691340782122905
1999-06-01,262.25,-2.9063309885227695
1999-07-01,255.7,-2.4976167778836986
1999-08-02,255.3,-0.15643332029722332
1999-09-01,298.5,16.92126909518214
1999-10-01,298.3,-0.06700167504187604
1999-11-01,290.5,-2.6148172980221256
1999-12-01,287.5,-1.0327022375215147
2000-01-03,282.85,-1.617391304347826
2000-02-01,291.75,3.146544104649107
2000-03-01,278.7,-4.473007712082262
2000-04-03,273.25,-1.9555077143882311
2000-05-01,271.9,-0.4940530649588289
2000-06-01,289.75,6.56491357116587
2000-07-03,277.0,-4.400345125107852
2000-08-01,277.5,0.18050541516245489
2000-09-01,274.0,-1.2612612612612613
2000-10-02,264.8,-3.3576642335766422
2000-11-01,270.1,2.001510574018127
2000-12-01,272.15,0.7589781562384302
2001-01-01,265.6,-2.406760977402168
2001-02-01,267.0,0.5271084337349398
2001-03-01,257.7,-3.4831460674157304
2001-04-02,263.8,2.36709351959643
2001-05-01,265.8,0.7581501137225171
